id	match	title	describe_en	url
2934	discordant	Platelet satellitism due to EDTA  Anticoagulant - 7.	Peripheral blood smear shows normocytic, normochromic red cells, three morphologically normal segmented neutrophils and adequate, evenly dispersed platelets, mostly single with occasional doublets. Notably, no platelets are adherent to the neutrophils and no platelet clumps are seen, so platelet satellitism is not demonstrated in this field. The image may represent a comparison smear from a non-EDTA (e.g., citrate) sample in which satellitism resolves, or a field away from the phenomenon. As shown, the image does not demonstrate platelet satellitism and is discordant with the title; it shows a normal peripheral smear with adequate platelets.	https://imagebank.hematology.org/image/2934/platelet-satellitism-due-to-edta-anticoagulant--7?type=upload
3630	discordant	Cytogram - normal peripheral blood - 4.	Although the title refers to a cytogram, the image is a peripheral blood smear rather than an analyzer scatter plot. It shows two small mature lymphocytes, compressed into angular shapes by surrounding red cells, and a normal segmented neutrophil. Many red cells contain refractile, sharply outlined clear areas typical of drying (water) artifact, and a few stain precipitate particles are present; these should not be mistaken for inclusions or parasites. No blasts or dysplastic features are seen, and the findings represent normal leukocyte morphology.	https://imagebank.hematology.org/image/3630/cytogram--normal-peripheral-blood--4?type=upload
3632	discordant	Cytogram - normal peripheral blood - 6.	Although the title refers to a cytogram, this image is a peripheral blood smear rather than an analyzer scatter plot. It shows two mature segmented neutrophils with 3-4 nuclear lobes, clumped chromatin, and finely granular pink cytoplasm without toxic change, hypersegmentation, or hypogranularity. Red cells are normochromic and normocytic, and platelets are normal in size. Findings represent normal neutrophil morphology.	https://imagebank.hematology.org/image/3632/cytogram--normal-peripheral-blood--6?type=upload
61749	discordant	Splenic marginal zone lymphoma-CD20	Immunohistochemistry labeled as CD20 shows a nodular aggregate of small lymphoid cells in which the lymphoid cells lack membranous staining, with only faint, fine reticular brown signal within the nodule and a negative spindled background. This pattern contradicts the strong membranous CD20 positivity expected in splenic marginal zone lymphoma. The image is discordant with its label and more likely represents a negative or dendritic-cell-restricted marker (such as CD23 or CD21 staining a follicular dendritic meshwork) or a failed stain; correlation with the case's actual CD20 slide is required.	https://imagebank.hematology.org/image/61749/splenic-marginal-zone-lymphomacd20?type=upload
62424	discordant	Figure 2	Clinical photograph shows a seated child with marked globular swelling of the right knee and a swollen, bulbous contour of the left knee, held in partial flexion. There is relative wasting of the thigh and calf muscles. No overlying skin lesions or bruising are evident. Note that the record legend describes an agarose gel (inverse shift PCR), which does not match this image; the image is a clinical photograph. The appearance is suggestive of hemarthrosis/chronic hemophilic arthropathy in the context of hemophilia A.	https://imagebank.hematology.org/image/62424/figure-2?type=upload
62708	discordant	Mixed Phenotype Acute Leukemia, B/myeloid: Blood	Peripheral blood smear field shows red cells, many of which contain fine punctate basophilic dots that may represent basophilic stippling or stain precipitate, together with scattered crenated forms. A large polygonal eosinophilic anucleate structure with peripheral clusters of coarse blue granules is present; its identity cannot be established at this resolution and it may be artifactual or a degenerated cell. No blasts are identified in this field. The image does not by itself demonstrate the features of mixed phenotype acute leukemia; the diagnosis rests on blast enumeration and flow cytometric lineage assignment (MPO plus strong CD19 with CD79a/CD22/CD10).	https://imagebank.hematology.org/image/62708/mixed-phenotype-acute-leukemia-bmyeloid-blood?type=upload
64862	discordant	Aggressive NK-cell leukemia H&E Bone Marrow Biopsy	Bone marrow core biopsy section stained by immunohistochemistry (not H&E as titled), with hematoxylin counterstain. The marrow is diffusely replaced by sheets of medium to large atypical cells with round to oval nuclei. Most infiltrating cells show granular, dot-like cytoplasmic immunoreactivity, a pattern typical of cytotoxic granule-associated proteins, although the specific antibody is not identified in the image. Residual normal hematopoiesis is not evident in this field. In the appropriate clinical and immunophenotypic context (CD3ε+, surface CD3−, CD56+, EBER+), findings are consistent with marrow involvement by aggressive NK-cell leukemia.	https://imagebank.hematology.org/image/64862/aggressive-nkcell-leukemia-he-bone-marrow-biopsy?type=upload
65117	discordant	Macrophage with phagocytosed red blood cells	Peripheral blood smear shows numerous medium-sized lymphoid cells with round to oval nuclei, finely dispersed chromatin, inconspicuous nucleoli and moderate pale blue-gray cytoplasm bearing fine circumferential hair-like projections. An irregular purple cell or aggregate is present at the bottom of the field, but no macrophage with phagocytosed red cells is seen, so the image is discordant with its title. The morphology of the lymphoid cells is consistent with circulating hairy cells, supporting the clinical diagnosis of hairy cell leukemia; flow cytometry (CD11c, CD25, CD103, CD123) and BRAF V600E testing are confirmatory.	https://imagebank.hematology.org/image/65117/macrophage-with-phagocytosed-red-blood-cells?type=upload
1032	partial	Hemophagocytic lymphohistiocytosis – reactive - 1.	Bone marrow aspirate smear at scanning magnification shows a highly cellular specimen with dense sheets of nucleated cells and scattered larger dark cells. Cytologic detail is not resolvable at this power, and hemophagocytic histiocytes cannot be identified. The image establishes an adequate, cellular aspirate; evaluation for hemophagocytosis requires high-power examination of the smear.	https://imagebank.hematology.org/image/1032/hemophagocytic-lymphohistiocytosis--reactive--1?type=upload
1033	partial	Hemophagocytic lymphohistiocytosis – reactive - 2.	Bone marrow aspirate smear shows an aggregate of mononuclear cells with overlapping nuclei, composed of smaller cells with dense chromatin admixed with larger cells with fine chromatin and pale cytoplasm. Scattered single mononuclear cells are present in the background. No definite hemophagocytic histiocyte is identified in this field. The image does not by itself demonstrate hemophagocytosis; the aggregate most likely represents clumped marrow cells, but a non-hematopoietic cluster should be excluded by review of other fields and ancillary studies.	https://imagebank.hematology.org/image/1033/hemophagocytic-lymphohistiocytosis--reactive--2?type=upload
